Id,Category
HW00006645,6
HW00001236,6
HW00004004,6
HW00006091,6
HW00000373,6
HW00000956,6
HW00002810,6
HW00001314,6
HW00005018,6
HW00000083,6
HW00004767,6
HW00007415,6
HW00006887,6
HW00002866,6
HW00002821,6
HW00001890,6
HW00006034,6
HW00003125,6
HW00005065,6
HW00002849,6
HW00002861,6
HW00002995,6
HW00004029,6
HW00004611,6
HW00006271,6
HW00007043,6
HW00004314,6
HW00000037,6
HW00006642,6
HW00007339,6
HW00007219,6
HW00000598,6
HW00006124,6
HW00006329,6
HW00004127,6
HW00001626,6
HW00000028,6
HW00003226,6
HW00000257,6
HW00006936,6
HW00002763,6
HW00007742,6
HW00002318,6
HW00006717,6
HW00001428,6
HW00005964,6
HW00006903,6
HW00006425,6
HW00006704,6
HW00002027,6
HW00006581,6
HW00000938,6
HW00002232,6
HW00007845,6
HW00006938,6
HW00001385,6
HW00002929,6
HW00003922,6
HW00000552,6
HW00005808,6
HW00007720,6
HW00002541,6
HW00005633,6
HW00000829,6
HW00007045,6
HW00001646,6
HW00006022,6
HW00002817,6
HW00000998,6
HW00001844,6
HW00002119,6
HW00000318,6
HW00005457,6
HW00002955,6
HW00001172,6
HW00001457,6
HW00005950,6
HW00002563,6
HW00006353,6
HW00003845,6
HW00000123,6
HW00002157,6
HW00002944,6
HW00005550,6
HW00006288,6
HW00001060,6
HW00002927,6
HW00005578,6
HW00001535,6
HW00002373,6
HW00006031,6
HW00003538,6
HW00005648,6
HW00001686,6
HW00003523,6
HW00007359,6
HW00004572,6
HW00006155,6
HW00005901,6
HW00001814,6
HW00001058,6
HW00007272,6
HW00003785,6
HW00002326,6
HW00003733,6
HW00004108,6
HW00005048,6
HW00000693,6
HW00003965,6
HW00005279,6
HW00005216,6
HW00001554,6
HW00001751,6
HW00001767,6
HW00005225,6
HW00007504,6
HW00001656,6
HW00001614,6
HW00005984,6
HW00006931,6
HW00005484,6
HW00005060,6
HW00001729,6
HW00004571,6
HW00001753,6
HW00002978,6
HW00000671,6
HW00007551,6
HW00007330,6
HW00006993,6
HW00005346,6
HW00007325,6
HW00006132,6
HW00002750,6
HW00002467,6
HW00000799,6
HW00002185,6
HW00004903,6
HW00000369,6
HW00006543,6
HW00004122,6
HW00006177,6
HW00003072,6
HW00000608,6
HW00007747,6
HW00006364,6
HW00002574,6
HW00002304,6
HW00004475,6
HW00003502,6
HW00001908,6
HW00000199,6
HW00001499,6
HW00000413,6
HW00002884,6
HW00004517,6
HW00004819,6
HW00004787,6
HW00002575,6
HW00002860,6
HW00004770,6
HW00006778,6
HW00000613,6
HW00007192,6
HW00006317,6
HW00004277,6
HW00001529,6
HW00005801,6
HW00007319,6
HW00006202,6
HW00000324,6
HW00006927,6
HW00002383,6
HW00004090,6
HW00001165,6
HW00006584,6
HW00007856,6
HW00000989,6
HW00007110,6
HW00003181,6
HW00006539,6
HW00000393,6
HW00000379,6
HW00004460,6
HW00006809,6
HW00005485,6
HW00006445,6
HW00006273,6
HW00005531,6
HW00000228,6
HW00001903,6
HW00000550,6
HW00006424,6
HW00004203,6
HW00003004,6
HW00000755,6
HW00006900,6
HW00004442,6
HW00002740,6
HW00004601,6
HW00004103,6
HW00005266,6
HW00002137,6
HW00000207,6
HW00004623,6
HW00006270,6
HW00001410,6
HW00007197,6
HW00007157,6
HW00003562,6
HW00001896,6
HW00001569,6
HW00004635,6
HW00006325,6
HW00005698,6
HW00005948,6
HW00004861,6
HW00007117,6
HW00003777,6
HW00002562,6
HW00006944,6
HW00007685,6
HW00004951,6
HW00007423,6
HW00007071,6
HW00007755,6
HW00007511,6
HW00005125,6
HW00005710,6
HW00003934,6
HW00004280,6
HW00001371,6
HW00005589,6
HW00005115,6
HW00007237,6
HW00006108,6
HW00006456,6
HW00002626,6
HW00004286,6
HW00001051,6
HW00005342,6
HW00000498,6
HW00007105,6
HW00000745,6
HW00003950,6
HW00003678,6
HW00005061,6
HW00002007,6
HW00005898,6
HW00000604,6
HW00002036,6
HW00001372,6
HW00005976,6
HW00005657,6
HW00003910,6
HW00004194,6
HW00004315,6
HW00006448,6
HW00003359,6
HW00001182,6
HW00006871,6
HW00005195,6
HW00001801,6
HW00007525,6
HW00004222,6
HW00003627,6
HW00007326,6
HW00001519,6
HW00001191,6
HW00006928,6
HW00000459,6
HW00002216,6
HW00002952,6
HW00003344,6
HW00000195,6
HW00000731,6
HW00007447,6
HW00003887,6
HW00005454,6
HW00004794,6
HW00000378,6
HW00001773,6
HW00003170,6
HW00000007,6
HW00000012,6
HW00007081,6
HW00004469,6
HW00003549,6
HW00006660,6
HW00003060,6
HW00007372,6
HW00005780,6
HW00001677,6
HW00001571,6
HW00002416,6
HW00003714,6
HW00006821,6
HW00006180,6
HW00004291,6
HW00007235,6
HW00001947,6
HW00001631,6
HW00003598,6
HW00001552,6
HW00006189,6
HW00002627,6
HW00000961,6
HW00000178,6
HW00001815,6
HW00002284,6
HW00001870,6
HW00006567,6
HW00004274,6
HW00007176,6
HW00001221,6
HW00000202,6
HW00005856,6
HW00005509,6
HW00002547,6
HW00006626,6
HW00003049,6
HW00004457,6
HW00001043,6
HW00001851,6
HW00004862,6
HW00000418,6
HW00003139,6
HW00005781,6
HW00005345,6
HW00005343,6
HW00000646,6
HW00002453,6
HW00006499,6
HW00000406,6
HW00005705,6
HW00006711,6
HW00006857,6
HW00004169,6
HW00006926,6
HW00001776,6
HW00004968,6
HW00004254,6
HW00001886,6
HW00003672,6
HW00007335,6
HW00006324,6
HW00005723,6
HW00006184,6
HW00002425,6
HW00000610,6
HW00006426,6
HW00003195,6
HW00007791,6
HW00006380,6
HW00000858,6
HW00007829,6
HW00001305,6
HW00005369,6
HW00002361,6
HW00001645,6
HW00001088,6
HW00000144,6
HW00007172,6
HW00000060,6
HW00007712,6
HW00004556,6
HW00000684,6
HW00001442,6
HW00000951,6
HW00000059,6
HW00000722,6
HW00007704,6
HW00005406,6
HW00007771,6
HW00000926,6
HW00000617,6
HW00001321,6
HW00003771,6
HW00006327,6
HW00006209,6
HW00004269,6
HW00004798,6
HW00003929,6
HW00002965,6
HW00004390,6
HW00007229,6
HW00005926,6
HW00005718,6
HW00006937,6
HW00002033,6
HW00001044,6
HW00002407,6
HW00001923,6
HW00001676,6
HW00005709,6
HW00003492,6
HW00003328,6
HW00001190,6
HW00001941,6
HW00006963,6
HW00002263,6
HW00000547,6
HW00004570,6
HW00000265,6
HW00000394,6
HW00000822,6
HW00000285,6
HW00004305,6
HW00007287,6
HW00006372,6
HW00003154,6
HW00004523,6
HW00005038,6
HW00003167,6
HW00005309,6
HW00004104,6
HW00000940,6
HW00001155,6
HW00007026,6
HW00001966,6
HW00006492,6
HW00007333,6
HW00001404,6
HW00007614,6
HW00006982,6
HW00004019,6
HW00001993,6
HW00001780,6
HW00003046,6
HW00001222,6
HW00006460,6
HW00005656,6
HW00003682,6
HW00004647,6
HW00003693,6
HW00006306,6
HW00007855,6
HW00006412,6
HW00006097,6
HW00004187,6
HW00000839,6
HW00005006,6
HW00000340,6
HW00004931,6
HW00005284,6
HW00001015,6
HW00002008,6
HW00001576,6
HW00002748,6
HW00005817,6
HW00005355,6
HW00004418,6
HW00003362,6
HW00000161,6
HW00002272,6
HW00001330,6
HW00007476,6
HW00002506,6
HW00000031,6
HW00006240,6
HW00002168,6
HW00004743,6
HW00001390,6
HW00003692,6
HW00003479,6
HW00002930,6
HW00005849,6
HW00004349,6
HW00003001,6
HW00004584,6
HW00007267,6
HW00006004,6
HW00004399,6
HW00001747,6
HW00000099,6
HW00006506,6
HW00006471,6
HW00004301,6
HW00001078,6
HW00002221,6
HW00003983,6
HW00006065,6
HW00004110,6
HW00001202,6
HW00004379,6
HW00002446,6
HW00002006,6
HW00004346,6
HW00007825,6
HW00003619,6
HW00003605,6
HW00000080,6
HW00005098,6
HW00001893,6
HW00001420,6
HW00006511,6
HW00001320,6
HW00005306,6
HW00001834,6
HW00003446,6
HW00003044,6
HW00000096,6
HW00002493,6
HW00007698,6
HW00002463,6
HW00006490,6
HW00004284,6
HW00002691,6
HW00004073,6
HW00000370,6
HW00003928,6
HW00000476,6
HW00001470,6
HW00001579,6
HW00001899,6
HW00001594,6
HW00001963,6
HW00001291,6
HW00001264,6
HW00004904,6
HW00006143,6
HW00002767,6
HW00003283,6
HW00006912,6
HW00000910,6
HW00006966,6
HW00006153,6
HW00000746,6
HW00004405,6
HW00007014,6
HW00002024,6
HW00007041,6
HW00001811,6
HW00002370,6
HW00007506,6
HW00002692,6
HW00007149,6
HW00005774,6
HW00000483,6
HW00001238,6
HW00001561,6
HW00001479,6
HW00001658,6
HW00004727,6
HW00004173,6
HW00003480,6
HW00006892,6
HW00004839,6
HW00000517,6
HW00002348,6
HW00002013,6
HW00001503,6
HW00006633,6
HW00003649,6
HW00004008,6
HW00002423,6
HW00002715,6
HW00003926,6
HW00006945,6
HW00002889,6
HW00003689,6
HW00002207,6
HW00003189,6
HW00007846,6
HW00005961,6
HW00000232,6
HW00007785,6
HW00004852,6
HW00000412,6
HW00005992,6
HW00003743,6
HW00000757,6
HW00006652,6
HW00003614,6
HW00004410,6
HW00000845,6
HW00000100,6
HW00003853,6
HW00002868,6
HW00004477,6
HW00002205,6
HW00003010,6
HW00000220,6
HW00005878,6
HW00004772,6
HW00005270,6
HW00004832,6
HW00007706,6
HW00001586,6
HW00001098,6
HW00000203,6
HW00003832,6
HW00006495,6
HW00000902,6
HW00005477,6
HW00006114,6
HW00003907,6
HW00002022,6
HW00001828,6
HW00006459,6
HW00002731,6
HW00006070,0
HW00001247,0
HW00003312,0
HW00004758,0
HW00004327,0
HW00007907,0
HW00000385,0
HW00003690,0
HW00006734,0
HW00001637,0
HW00002677,0
HW00001699,0
HW00004179,0
HW00007807,0
HW00001590,0
HW00001140,0
HW00004941,0
HW00006437,0
HW00001106,0
HW00004912,0
HW00006286,0
HW00004080,0
HW00006024,0
HW00000135,0
HW00006079,0
HW00004689,0
HW00001167,0
HW00005101,0
HW00005180,0
HW00003497,0
HW00000437,0
HW00000884,0
HW00006613,0
HW00007745,0
HW00003165,0
HW00004789,0
HW00002172,0
HW00007346,0
HW00000796,0
HW00004757,0
HW00004632,0
HW00004498,0
HW00005023,0
HW00006481,0
HW00001856,0
HW00006058,0
HW00004006,0
HW00007655,0
HW00001415,0
HW00007091,0
HW00000008,0
HW00007838,0
HW00004753,0
HW00004455,0
HW00000970,0
HW00004483,0
HW00001288,0
HW00004429,0
HW00000795,0
HW00001426,0
HW00007011,0
HW00006243,0
HW00001902,0
HW00007519,0
HW00004594,0
HW00007185,0
HW00000741,0
HW00001073,0
HW00001468,0
HW00001560,0
HW00007822,0
HW00003931,0
HW00007727,0
HW00003124,0
HW00003108,0
HW00005340,0
HW00006655,0
HW00002757,0
HW00005068,0
HW00003604,0
HW00004806,0
HW00002830,0
HW00003114,0
HW00007388,0
HW00002975,0
HW00007262,0
HW00002068,0
HW00003660,0
HW00006098,0
HW00003104,0
HW00005740,0
HW00003262,0
HW00003456,0
HW00000414,0
HW00003414,0
HW00001384,0
HW00000919,0
HW00004801,0
HW00006047,0
HW00000515,0
HW00000705,0
HW00005753,0
HW00007127,0
HW00000349,0
HW00004023,0
HW00001568,0
HW00002510,0
HW00005905,0
HW00000442,0
HW00005737,0
HW00003707,0
HW00003995,0
HW00006793,0
HW00006256,0
HW00004604,0
HW00000353,0
HW00004628,0
HW00001224,0
HW00001652,0
HW00001982,0
HW00002699,0
HW00007207,0
HW00001715,0
HW00007119,0
HW00006308,0
HW00005070,0
HW00007225,0
HW00003052,0
HW00003453,0
HW00005071,0
HW00007132,0
HW00000193,0
HW00006602,0
HW00004834,0
HW00003422,0
HW00001812,0
HW00006748,0
HW00006402,0
HW00003012,0
HW00001425,0
HW00003352,0
HW00000287,0
HW00004682,0
HW00003542,0
HW00004998,0
HW00003810,0
HW00004144,0
HW00005154,0
HW00004001,0
HW00005243,0
HW00004702,0
HW00002220,0
HW00000045,0
HW00002317,0
HW00004761,0
HW00007661,0
HW00001942,0
HW00000254,0
HW00005153,0
HW00004684,0
HW00001898,0
HW00006726,0
HW00002145,0
HW00006955,0
HW00005967,0
HW00006187,0
HW00000899,0
HW00002580,0
HW00000917,0
HW00000026,0
HW00005938,0
HW00005732,0
HW00007022,0
HW00002761,0
HW00002291,0
HW00006631,0
HW00000005,0
HW00005874,0
HW00007684,0
HW00000246,0
HW00003341,0
HW00003553,0
HW00006039,0
HW00001379,0
HW00004864,0
HW00001295,0
HW00007882,0
HW00006666,0
HW00004989,0
HW00004526,0
HW00007624,0
HW00005756,0
HW00007594,0
HW00000428,0
HW00007568,0
HW00007664,0
HW00006575,0
HW00001653,0
HW00004199,0
HW00003476,0
HW00006191,0
HW00002858,0
HW00003459,0
HW00006700,0
HW00006401,0
HW00000401,0
HW00005391,0
HW00007463,0
HW00004186,0
HW00003499,0
HW00001025,0
HW00001169,0
HW00002350,0
HW00003617,0
HW00005581,0
HW00005750,0
HW00006546,0
HW00000196,0
HW00002047,0
HW00005584,0
HW00000867,0
HW00001451,0
HW00006465,0
HW00004730,0
HW00006739,0
HW00006805,0
HW00004436,0
HW00006800,0
HW00001297,0
HW00000427,0
HW00003527,0
HW00006450,0
HW00005318,0
HW00004780,0
HW00002427,0
HW00002126,0
HW00004084,0
HW00006376,0
HW00006792,0
HW00007913,0
HW00006002,0
HW00000737,0
HW00004190,0
HW00002907,0
HW00001327,0
HW00000072,0
HW00006864,0
HW00007354,0
HW00003411,0
HW00007079,0
HW00006134,0
HW00000502,0
HW00003385,0
HW00005211,0
HW00005876,0
HW00001884,0
HW00002886,0
HW00002052,0
HW00005291,0
HW00001296,0
HW00007600,0
HW00005218,0
HW00002390,0
HW00003602,0
HW00002903,0
HW00007597,0
HW00005158,0
HW00000977,0
HW00005349,0
HW00000396,0
HW00000271,0
HW00007925,0
HW00002371,0
HW00006994,0
HW00005755,0
HW00002737,0
HW00004600,0
HW00001211,0
HW00001020,0
HW00005004,0
HW00002354,0
HW00001868,0
HW00001541,0
HW00002125,0
HW00003343,0
HW00006534,0
HW00004184,0
HW00005809,0
HW00007880,0
HW00002901,0
HW00002840,0
HW00000128,0
HW00000760,0
HW00006808,0
HW00005435,0
HW00002646,0
HW00005285,0
